batsman,bowler,0,1,2,3,4,5,6,wickets,balls
CA Pujara,DS Kulkarni,0.666666666666667,0.166666666666667,0,0,0.166666666666667,0,0,0,6
WP Saha,JP Faulkner,0.260869565217391,0.434782608695652,0.086956521739131,0,0.173913043478261,0,0,0.043478260869565,23
CA Pujara,JP Faulkner,0,0.625,0.125,0.125,0.125,0,0,0,8
GJ Maxwell,DS Kulkarni,0.3,0.2,0,0,0.5,0,0,0,10
GJ Maxwell,KW Richardson,0.25,0.375,0,0,0.125,0,0.125,0.125,8
GJ Maxwell,PV Tambe,0.461538461538462,0.461538461538462,0,0,0,0,0.076923076923077,0,13
CA Pujara,PV Tambe,0.222222222222222,0.777777777777778,0,0,0,0,0,0,9
GJ Maxwell,JP Faulkner,0.352941176470588,0.294117647058824,0.117647058823529,0,0,0,0.176470588235294,0.058823529411765,17
CA Pujara,R Bhatia,0,0.75,0.25,0,0,0,0,0,4
GJ Maxwell,R Bhatia,0.235294117647059,0.294117647058824,0.117647058823529,0,0.235294117647059,0,0.117647058823529,0,17
DA Miller,STR Binny,0.583333333333333,0,0.25,0,0.166666666666667,0,0,0,12
DA Miller,PV Tambe,0.0625,0.625,0.1875,0,0,0,0.125,0,16
DA Miller,JP Faulkner,0.25,0.3,0.2,0,0.05,0,0.2,0,20
DA Miller,DS Kulkarni,0.214285714285714,0.142857142857143,0.142857142857143,0,0,0,0.357142857142857,0.142857142857143,14
DR Smith,Z Khan,0.472222222222222,0.25,0.055555555555556,0,0.194444444444444,0,0.027777777777778,0,36
BB McCullum,S Nadeem,0.340425531914894,0.51063829787234,0.042553191489362,0,0.106382978723404,0,0,0,47
DR Smith,S Nadeem,0.470588235294118,0.333333333333333,0,0,0.058823529411765,0,0.098039215686275,0.03921568627451,51
BB McCullum,Z Khan,0.388059701492537,0.328358208955224,0.074626865671642,0,0.104477611940299,0,0.074626865671642,0.029850746268657,67
BB McCullum,CH Morris,0.533333333333333,0.066666666666667,0.066666666666667,0,0.133333333333333,0,0.066666666666667,0.133333333333333,15
BB McCullum,A Mishra,0.318181818181818,0.454545454545455,0.090909090909091,0,0.136363636363636,0,0,0,22
DR Smith,A Mishra,0.27027027027027,0.45945945945946,0.054054054054054,0,0.054054054054054,0,0.135135135135135,0.027027027027027,37
BB McCullum,Imran Tahir,0.166666666666667,0.388888888888889,0.055555555555556,0,0.277777777777778,0,0.111111111111111,0,18
DR Smith,Imran Tahir,0.388888888888889,0.333333333333333,0,0,0.111111111111111,0,0,0.166666666666667,18
SK Raina,Imran Tahir,0.272727272727273,0.363636363636364,0.181818181818182,0,0.181818181818182,0,0,0,11
SK Raina,CH Morris,0.5,0.2,0.1,0,0.05,0,0,0.15,20
KD Karthik,CH Morris,0.5,0.227272727272727,0.090909090909091,0,0.045454545454546,0,0.045454545454546,0.090909090909091,22
KD Karthik,Imran Tahir,0.285714285714286,0.5,0,0,0,0,0.071428571428572,0.142857142857143,14
RA Jadeja,Imran Tahir,0.5,0.333333333333333,0,0,0.166666666666667,0,0,0,6
KD Karthik,A Mishra,0.15,0.6,0.075,0,0.15,0,0.025,0,40
RA Jadeja,A Mishra,0.375,0.4,0.1,0,0,0,0.025,0.1,40
RA Jadeja,JP Duminy,0.285714285714286,0.642857142857143,0,0,0,0,0,0.071428571428572,14
KD Karthik,JP Duminy,0.25,0.5,0.166666666666667,0,0.083333333333333,0,0,0,12
Ishan Kishan,JP Duminy,0.5,0.5,0,0,0,0,0,0,2
KD Karthik,S Nadeem,0.304347826086957,0.391304347826087,0.086956521739131,0,0.086956521739131,0,0.130434782608696,0,23
Ishan Kishan,S Nadeem,0.5,0.5,0,0,0,0,0,0,2
Ishan Kishan,Imran Tahir,0.5,0,0,0,0.25,0,0,0.25,8
JP Faulkner,Imran Tahir,0.125,0.625,0.125,0,0,0,0,0.125,8
JP Faulkner,CH Morris,0.076923076923077,0.384615384615385,0.307692307692308,0,0.153846153846154,0,0,0.076923076923077,13
DJ Bravo,CH Morris,0.071428571428572,0.785714285714286,0,0,0.142857142857143,0,0,0,14
DJ Bravo,Z Khan,0.142857142857143,0.571428571428571,0.142857142857143,0,0.142857142857143,0,0,0,7
JP Faulkner,Z Khan,0.25,0.25,0.5,0,0,0,0,0,4
